,Mean Max Projection Raw,Mean Max Projection Registered,Mean Max Projection Registered 1p,Mean Correlation Raw,Mean Correlation Registered,Mean Correlation Registered 1p
leftCam_011222_GC32_GCaMP,375.0414395711501,370.24263978232614,370.58817515432094,0.9979120269313693,0.9985403643498698,0.9985235102071907
rightCam_011222_GC32_GCaMP,383.0257546702405,379.45765371182586,379.3227167803769,0.9970352736749077,0.9976701031034586,0.9976966813159246
rightCam_011022_GC33_GCaMP,320.79175787849255,315.72389855425604,315.7060445094217,0.9970436640058488,0.9980170595879572,0.9980335934092793
